source,target,width,length,color,title
품질,상품,5.253041386604309,94.93917226791382,#ffaa44,품질 ↔ 상품<br>유사도: 0.525
품질,제품,6.225354075431824,75.49291849136353,#ffaa44,품질 ↔ 제품<br>유사도: 0.623
품질,실망,4.200211465358734,115.99577069282532,#4444ff,품질 ↔ 실망<br>유사도: 0.420
품질,불편,4.014906287193298,119.70187425613403,#4444ff,품질 ↔ 불편<br>유사도: 0.401
배송,가격,5.348093509674072,93.03812980651855,#ffaa44,배송 ↔ 가격<br>유사도: 0.535
배송,직원,4.712986648082733,105.74026703834534,#4444ff,배송 ↔ 직원<br>유사도: 0.471
배송,고객,5.225405693054199,95.49188613891602,#ffaa44,배송 ↔ 고객<br>유사도: 0.523
배송,처리,3.825194537639618,123.49610924720764,#4444ff,배송 ↔ 처리<br>유사도: 0.383
배송,개선,4.413411617279053,111.73176765441896,#4444ff,배송 ↔ 개선<br>유사도: 0.441
배송,지연,4.455223083496094,110.89553833007812,#4444ff,배송 ↔ 지연<br>유사도: 0.446
배송,오류,3.7698861956596375,124.60227608680724,#4444ff,배송 ↔ 오류<br>유사도: 0.377
배송,손상,4.782696068286896,104.34607863426208,#4444ff,배송 ↔ 손상<br>유사도: 0.478
배송,환불,4.992601275444031,100.14797449111938,#4444ff,배송 ↔ 환불<br>유사도: 0.499
배송,교환,5.37283182144165,92.543363571167,#ffaa44,배송 ↔ 교환<br>유사도: 0.537
배송,수리,4.995690286159515,100.08619427680968,#4444ff,배송 ↔ 수리<br>유사도: 0.500
배송,반품,4.164701700210571,116.70596599578856,#4444ff,배송 ↔ 반품<br>유사도: 0.416
배송,상품,5.361572504043579,92.76854991912842,#ffaa44,배송 ↔ 상품<br>유사도: 0.536
배송,제품,6.130913496017456,77.38173007965088,#ffaa44,배송 ↔ 제품<br>유사도: 0.613
배송,실망,4.346444606781006,113.07110786437988,#4444ff,배송 ↔ 실망<br>유사도: 0.435
배송,불편,4.026691317558289,119.46617364883424,#4444ff,배송 ↔ 불편<br>유사도: 0.403
가격,직원,3.4159812331199646,131.6803753376007,#4444ff,가격 ↔ 직원<br>유사도: 0.342
가격,고객,5.096962451934815,98.06075096130373,#ffaa44,가격 ↔ 고객<br>유사도: 0.510
가격,처리,3.147067427635193,137.05865144729614,#4444ff,가격 ↔ 처리<br>유사도: 0.315
가격,개선,2.293732166290283,154.12535667419434,#4444ff,가격 ↔ 개선<br>유사도: 0.229
가격,지연,3.571643829345703,128.56712341308594,#4444ff,가격 ↔ 지연<br>유사도: 0.357
가격,오류,2.7545401453971863,144.90919709205627,#4444ff,가격 ↔ 오류<br>유사도: 0.275
가격,손상,3.0919259786605835,138.16148042678833,#4444ff,가격 ↔ 손상<br>유사도: 0.309
가격,환불,3.692325949668884,126.15348100662231,#4444ff,가격 ↔ 환불<br>유사도: 0.369
가격,교환,3.4469321370124817,131.06135725975037,#4444ff,가격 ↔ 교환<br>유사도: 0.345
가격,수리,4.387917220592499,112.24165558815002,#4444ff,가격 ↔ 수리<br>유사도: 0.439
가격,반품,2.5107556581497192,149.78488683700562,#4444ff,가격 ↔ 반품<br>유사도: 0.251
가격,상품,3.238741457462311,135.22517085075378,#4444ff,가격 ↔ 상품<br>유사도: 0.324
가격,제품,3.987378478050232,120.25243043899536,#4444ff,가격 ↔ 제품<br>유사도: 0.399
가격,실망,3.4616705775260925,130.76658844947815,#4444ff,가격 ↔ 실망<br>유사도: 0.346
가격,불편,2.5853312015533447,148.2933759689331,#4444ff,가격 ↔ 불편<br>유사도: 0.259
직원,고객,3.801577091217041,123.96845817565918,#4444ff,직원 ↔ 고객<br>유사도: 0.380
