source,target,weight
것으로,봐요,0.9964179396629332
것으로,많아지면,0.9961929321289062
변경은,되는,0.9969910383224488
변경은,싶은데,0.996979594230652
변경은,그래,0.9963041543960572
변경은,쓸,0.996213436126709
이렇게,거죠,0.9962550401687622
확인할,1년,0.9965609312057496
확인할,약정으로,0.9962763786315918
다시,진행됩니다,0.9961775541305542
드리는,번,0.996289074420929
드리는,거야,0.9962496161460876
드리는,<CHARGE>원,0.9961742162704468
중,가능하십니다,0.996870219707489
중,결합할인을,0.996308207511902
구매,다르지만,0.9973552227020264
구매,할인받아서,0.9967621564865112
구매,기종과,0.9967445135116576
구매,<STORAGE_AMOUNT>의,0.9966898560523988
구매,약정으로,0.996673345565796
구매,기간이,0.9964948892593384
구매,도움이,0.9964099526405334
구매,방식에,0.9963881969451904
구매,1년,0.9962862133979796
구매,때,0.9962080121040344
구매,할인되나요,0.996176540851593
구매,동안,0.9961673617362976
사용을,할인받아서,0.9965888261795044
사용을,줄여야,0.9964802265167236
사용을,그런,0.9962705373764038
사용을,젠장,0.996267020702362
사용을,추천합니다,0.9962120056152344
사용을,<CHARGE>원,0.9961464405059814
절약되실,설명,0.9964143633842468
절약되실,그래요,0.996209681034088
약정으로,1년,0.9972209334373474
약정으로,2년,0.9968155026435852
약정으로,다르지만,0.996604025363922
약정으로,가능하십니다,0.99658465385437
약정으로,할인받아서,0.9965587854385376
약정으로,기종과,0.9965375065803528
약정으로,할인되나요,0.9964601993560792
약정으로,일부,0.996457815170288
약정으로,동안,0.996359407901764
약정으로,<STORAGE_AMOUNT>의,0.996241569519043
때,다르지만,0.996730387210846
때,CU,0.9963988065719604
때,할인받아서,0.996210753917694
봐요,많아지면,0.9964960217475892
가능하십니다,좋아,0.9967332482337952
가능하십니다,거야,0.9964917302131652
가능하십니다,할인받아서,0.9963060021400452
할인받아서,다르지만,0.9967884421348572
할인받아서,할인되나요,0.9966347217559814
할인받아서,기종과,0.9965172410011292
할인받아서,2년,0.996467649936676
할인받아서,도움이,0.9963378310203552
할인받아서,여행,0.9961985349655152
할인받아서,용량은,0.9961596727371216
그래도,보내주시면,0.9963898062705994
그래도,느린,0.9961915016174316
싶은데,받고,0.9969945549964904
싶은데,되는,0.9965527057647704
1년,2년,0.9967042207717896
1년,일부,0.9965044260025024
1년,다르지만,0.9962942600250244
1년,기종과,0.9962196946144104
1년,<STORAGE_AMOUNT>의,0.9961609840393066
다르지만,할인되나요,0.9970468878746032
다르지만,<STORAGE_AMOUNT>의,0.9969637393951416
다르지만,용량은,0.996733546257019
다르지만,기종과,0.9964424967765808
다르지만,<CHARGE>원,0.9964141249656676
다르지만,GS25,0.9962857961654664
결합할인을,함께,0.9968676567077636
결합할인을,거야,0.996737778186798
결합할인을,그런,0.996693193912506
결합할인을,여행,0.996544361114502
결합할인을,서류와,0.996514618396759
결합할인을,그래,0.9963505864143372
결합할인을,카드를,0.9961689710617064
추가적인,느린,0.9969329237937928
추가적인,취하겠습니다,0.9962737560272216
추천합니다,<VOICE_AMOUNT>,0.996498167514801
추천합니다,청구된,0.9961506724357604
걸리는,여행,0.996362030506134
걸리는,번,0.9961631298065186
걸리는,포인트,0.9961498975753784
그런,번,0.9966300129890442
그런,할인해,0.996616005897522
그런,싸지는데요,0.9966115355491638
그런,<CHARGE>원,0.9965025186538696
그런,거야,0.9963578581809998
그런,설명해주세요,0.9963489770889282
그런,일본이야,0.99633127450943
그런,할인율이,0.9962566494941713
된,오후로,0.996206283569336
된,홈페이지나,0.9961586594581604
그래,멤버십에,0.9963697791099548
그래,포인트,0.9962607622146606
그래,함께,0.9961633682250975
음성,설명,0.9968910217285156
음성,설명해주세요,0.9966423511505128
음성,서류와,0.9962670803070068
동봉된,다,0.997188687324524
동봉된,포인트,0.9969620108604432
포인트,서류와,0.9967642426490784
포인트,다,0.9966982007026672
