node,community,centrality
결제를,0,0.018691588785046728
포인트,0,0.08411214953271028
서류와,0,0.07476635514018691
도움이,1,0.02803738317757009
구매,1,0.11214953271028036
할인받아서,1,0.11214953271028036
일부,1,0.02803738317757009
젠장,2,0.02803738317757009
할인해,2,0.02803738317757009
사용을,2,0.05607476635514018
줄여야,2,0.02803738317757009
사용료는,3,0.018691588785046728
<DATA_PRICE>원,3,0.018691588785046728
통화료는,3,0.018691588785046728
번,0,0.09345794392523364
거야,0,0.07476635514018691
청구된,4,0.037383177570093455
그런,2,0.09345794392523364
여행,0,0.05607476635514018
<CHARGE>원,2,0.08411214953271028
싸지는데요,2,0.018691588785046728
드리는,0,0.02803738317757009
방식에,0,0.018691588785046728
걸리는,0,0.02803738317757009
해지는,5,0.02803738317757009
않으셨기,5,0.009345794392523364
주의,5,0.018691588785046728
작성하셔야,5,0.02803738317757009
알았어,5,0.02803738317757009
보내드릴까요,5,0.05607476635514018
<DISCOUNT_CHARGE>원입니다,5,0.018691588785046728
내일,5,0.037383177570093455
GS25,2,0.02803738317757009
다르지만,1,0.102803738317757
CU,2,0.05607476635514018
동봉된,0,0.018691588785046728
다,0,0.018691588785046728
어디인가요,8,0.02803738317757009
그래,0,0.04672897196261682
멤버십에,0,0.02803738317757009
함께,0,0.06542056074766354
할인되나요,1,0.05607476635514018
용량은,1,0.037383177570093455
<STORAGE_AMOUNT>의,1,0.06542056074766354
약정으로,1,0.11214953271028036
결합할인을,0,0.07476635514018691
가능하십니다,0,0.04672897196261682
받고,8,0.018691588785046728
설명,4,0.04672897196261682
음성,4,0.02803738317757009
그래요,4,0.018691588785046728
절약되실,4,0.018691588785046728
<VOICE_AMOUNT>,4,0.018691588785046728
설명해주세요,4,0.037383177570093455
좋아,8,0.05607476635514018
기간이,8,0.037383177570093455
보내주시면,8,0.018691588785046728
쓸,8,0.018691588785046728
상태,8,0.018691588785046728
1년,1,0.07476635514018691
2년,1,0.02803738317757009
확인할,1,0.018691588785046728
기종과,1,0.04672897196261682
이렇게,9,0.009345794392523364
거죠,9,0.009345794392523364
진행됩니다,5,0.018691588785046728
바랍니다,5,0.018691588785046728
다시,5,0.009345794392523364
많아지면,10,0.018691588785046728
봐요,10,0.018691588785046728
것으로,10,0.018691588785046728
최대,11,0.009345794392523364
확인하실,11,0.018691588785046728
추천합니다,4,0.02803738317757009
때,1,0.037383177570093455
사항을,5,0.009345794392523364
있을,11,0.018691588785046728
할인받으실,11,0.009345794392523364
싶은데,8,0.02803738317757009
일본이야,2,0.018691588785046728
할인율이,2,0.018691588785046728
카드를,2,0.018691588785046728
줄,5,0.018691588785046728
홈페이지나,5,0.02803738317757009
어디로,6,0.018691588785046728
제휴,6,0.018691588785046728
직영점이나,6,0.018691588785046728
느린,8,0.018691588785046728
추가적인,8,0.018691588785046728
그래도,8,0.018691588785046728
이런,7,0.018691588785046728
많아서,7,0.04672897196261682
늘어서,7,0.037383177570093455
변경은,8,0.037383177570093455
되는,8,0.018691588785046728
동안,1,0.02803738317757009
중,0,0.018691588785046728
오후로,5,0.018691588785046728
된,5,0.018691588785046728
취하겠습니다,8,0.009345794392523364
<DATA>입니다,2,0.018691588785046728
아이폰,2,0.018691588785046728
나오셨습니다,7,0.018691588785046728
수고하세요,5,0.009345794392523364
없어요,5,0.018691588785046728
음성통화도,7,0.02803738317757009
접수해,8,0.009345794392523364
<DATA_PRICE>원입니다,7,0.018691588785046728
