client_id,topic
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4
10adb0c3-8246-4cd3-875a-1b734f7d84f6,4
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4
f6d0477e-6c65-4615-aa63-eb08ba201d1d,4
35e8b829-b6a7-4966-b84c-a1db1d6cbc23,3
35e8b829-b6a7-4966-b84c-a1db1d6cbc23,3
42a703d7-462a-4d5d-ac3a-e063fa2eddb0,1
42a703d7-462a-4d5d-ac3a-e063fa2eddb0,1
42a703d7-462a-4d5d-ac3a-e063fa2eddb0,1
42a703d7-462a-4d5d-ac3a-e063fa2eddb0,1
c5d7afc9-7670-4e6e-a149-b3111babb49e,4
5b884f81-9390-4ea9-89b2-de468c0c9617,4
5b884f81-9390-4ea9-89b2-de468c0c9617,4
5b884f81-9390-4ea9-89b2-de468c0c9617,4
3f066e79-66f4-42ef-ad4c-17f0fa79ba9a,2
3f066e79-66f4-42ef-ad4c-17f0fa79ba9a,2
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
c0df7d22-9f6c-4ec8-b592-e4fa00259cd3,3
c0df7d22-9f6c-4ec8-b592-e4fa00259cd3,3
c61955e9-7d92-40a8-8138-e69ab2069100,0
3f9c6da9-5762-4f56-9c61-56874e9fc89b,0
3f9c6da9-5762-4f56-9c61-56874e9fc89b,0
3f9c6da9-5762-4f56-9c61-56874e9fc89b,0
3f9c6da9-5762-4f56-9c61-56874e9fc89b,0
3f9c6da9-5762-4f56-9c61-56874e9fc89b,0
3aeacbb0-bfe6-4b87-b373-4562fc1d84d8,3
c5d7afc9-7670-4e6e-a149-b3111babb49e,3
2200cc34-2830-4693-940e-d3028628b943,2
2200cc34-2830-4693-940e-d3028628b943,2
2200cc34-2830-4693-940e-d3028628b943,2
e0bbae6b-ab97-42e6-982f-265c4e28f6a4,4
e0bbae6b-ab97-42e6-982f-265c4e28f6a4,4
09a9ecaa-7aa3-435f-8157-efa1f0a48937,2
db4adde1-abef-47b0-bde1-612f75090e94,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
3f9c6da9-5762-4f56-9c61-56874e9fc89b,4
80e8e83a-98a8-4e88-9d71-9d27cf66908d,4
80e8e83a-98a8-4e88-9d71-9d27cf66908d,4
3c8c0e2a-9fc0-49fd-86b2-7361f0c39e61,3
ee09fa7e-3cca-435b-8c5f-502e72c75a94,3
ee09fa7e-3cca-435b-8c5f-502e72c75a94,3
63228798-ab6a-4930-9aa9-35bb5531c88c,4
63228798-ab6a-4930-9aa9-35bb5531c88c,4
63228798-ab6a-4930-9aa9-35bb5531c88c,4
8c643093-5ba7-438a-a0d9-741d5c05e7ec,0
