source,target,weight,source_community,target_community
설명,음성,0.9968910217285156,4,4
설명,그래요,0.9967116713523864,4,4
설명,절약되실,0.9964143633842468,4,4
설명,<VOICE_AMOUNT>,0.996296226978302,4,4
음성,설명해주세요,0.9966423511505128,4,4
그래요,절약되실,0.996209681034088,4,4
<VOICE_AMOUNT>,추천합니다,0.996498167514801,4,4
좋아,기간이,0.9964730739593506,8,8
좋아,보내주시면,0.9963494539260864,8,8
좋아,쓸,0.9962893724441528,8,8
좋아,상태,0.996283233165741,8,8
기간이,동안,0.9965547323226928,8,1
기간이,상태,0.996253490447998,8,8
보내주시면,그래도,0.9963898062705994,8,8
쓸,변경은,0.996213436126709,8,8
1년,2년,0.9967042207717896,1,1
1년,확인할,0.9965609312057496,1,1
1년,기종과,0.9962196946144104,1,1
이렇게,거죠,0.9962550401687622,9,9
진행됩니다,바랍니다,0.996900200843811,5,5
진행됩니다,다시,0.9961775541305542,5,5
많아지면,봐요,0.9964960217475892,10,10
많아지면,것으로,0.9961929321289062,10,10
봐요,것으로,0.9964179396629332,10,10
최대,확인하실,0.996687948703766,11,11
확인하실,있을,0.9964067935943604,11,11
있을,할인받으실,0.9964666366577148,11,11
싶은데,변경은,0.996979594230652,8,8
싶은데,되는,0.9965527057647704,8,8
일본이야,할인율이,0.996407985687256,2,2
줄,홈페이지나,0.9961847066879272,5,5
홈페이지나,된,0.9961586594581604,5,5
어디로,제휴,0.9966389536857604,6,6
어디로,직영점이나,0.9963811635971068,6,6
제휴,직영점이나,0.997742235660553,6,6
느린,추가적인,0.9969329237937928,8,8
느린,그래도,0.9961915016174316,8,8
추가적인,취하겠습니다,0.9962737560272216,8,8
이런,많아서,0.9963145852088928,7,7
이런,늘어서,0.9962888956069946,7,7
많아서,나오셨습니다,0.9965429306030272,7,7
많아서,늘어서,0.9963984489440918,7,7
많아서,<DATA_PRICE>원입니다,0.9963154792785645,7,7
많아서,음성통화도,0.9968013167381288,7,7
늘어서,나오셨습니다,0.9968159794807434,7,7
늘어서,음성통화도,0.996492862701416,7,7
변경은,되는,0.9969910383224488,8,8
오후로,된,0.996206283569336,5,5
<DATA>입니다,아이폰,0.996271312236786,2,2
수고하세요,없어요,0.996848464012146,5,5
음성통화도,<DATA_PRICE>원입니다,0.9964662790298462,7,7
